,balance_,duration_,history_,purpose_,amount_,savings_,employment_,available_income_,status_sex_,other_debtors_,residence_,assets_,age_,other_loans_,housing_,previous_loans_,job_,people_liable_,telephone_,foreign_worker_,classification_
0,no account,6,paid back previous loans at this bank,furniture,1169,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,real estate,67,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
1,no balance,48,paid back all previous loans,furniture,5951,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male single,none,between 1 and 4 years,real estate,22,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
2,above 200 EUR,12,paid back previous loans at this bank,repair,2096,no savings account at this bank,between 4  and 7 years,between 25 and 35%,male married or widowed,none,between 4 and 7 years,real estate,49,no additional loans,own,1,unskilled (permanent resident),3 and more,none,no,Approved
3,no account,42,paid back all previous loans,used car,7882,no savings account at this bank,between 4  and 7 years,between 25 and 35%,male married or widowed,guarantor,more than 7 years,life insurance,45,no additional loans,for free,1,skilled,3 and more,none,no,Approved
4,no account,24,no problems with current loans,other,4870,no savings account at this bank,between 1 and 4 years,between 20 and 25%,male married or widowed,none,more than 7 years,none,53,no additional loans,for free,2 or 3,skilled,3 and more,none,no,Rejected
5,above 200 EUR,36,paid back all previous loans,repair,9055,above 1000 EUR,between 1 and 4 years,between 25 and 35%,male married or widowed,none,more than 7 years,none,35,no additional loans,for free,1,unskilled (permanent resident),3 and more,yes,no,Approved
6,above 200 EUR,24,paid back all previous loans,used car,2835,between 100 and 500 EUR,more than 7 years,between 20 and 25%,male married or widowed,none,more than 7 years,life insurance,53,no additional loans,own,1,skilled,0 to 2,none,no,Approved
7,no balance,36,paid back all previous loans,new car,6948,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,car,35,no additional loans,rent,1,executive or self-employed,0 to 2,yes,no,Approved
8,above 200 EUR,12,paid back all previous loans,furniture,3059,between 500 and 1000 EUR,between 4  and 7 years,between 25 and 35%,male divorced,none,more than 7 years,real estate,61,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,no,Approved
9,no balance,30,paid back previous loans at this bank,other,5234,no savings account at this bank,unemployed,less than 20%,female,none,between 1 and 4 years,car,28,no additional loans,own,2 or 3,executive or self-employed,0 to 2,none,no,Rejected
10,no balance,12,paid back all previous loans,other,1295,no savings account at this bank,less than 1 year,between 20 and 25%,male single,none,less than 1 year,car,25,no additional loans,rent,1,skilled,0 to 2,none,no,Rejected
11,no account,48,paid back all previous loans,retraining,4308,no savings account at this bank,less than 1 year,between 20 and 25%,male single,none,more than 7 years,life insurance,24,no additional loans,rent,1,skilled,0 to 2,none,no,Rejected
12,no balance,12,paid back all previous loans,furniture,1567,no savings account at this bank,between 1 and 4 years,more than 35%,male single,none,less than 1 year,car,22,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
13,no account,24,paid back previous loans at this bank,other,1199,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,car,60,no additional loans,own,2 or 3,unskilled (permanent resident),0 to 2,none,no,Rejected
14,no account,15,paid back all previous loans,other,1403,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male single,none,more than 7 years,car,28,no additional loans,rent,1,skilled,0 to 2,none,no,Approved
15,no account,24,paid back all previous loans,furniture,1282,below 100 EUR,between 1 and 4 years,less than 20%,male single,none,between 1 and 4 years,car,32,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,no,Rejected
16,above 200 EUR,24,paid back previous loans at this bank,furniture,2424,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,life insurance,53,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
17,no account,30,delay payment of previous loans,retraining,8072,above 1000 EUR,less than 1 year,between 25 and 35%,male married or widowed,none,between 4 and 7 years,car,25,at other banks,own,4 or 5,skilled,0 to 2,none,no,Approved
18,no balance,24,paid back all previous loans,new car,12579,no savings account at this bank,more than 7 years,less than 20%,male single,none,between 1 and 4 years,none,44,no additional loans,for free,1,executive or self-employed,0 to 2,yes,no,Rejected
19,above 200 EUR,24,paid back all previous loans,furniture,3430,between 100 and 500 EUR,more than 7 years,between 20 and 25%,male married or widowed,none,between 1 and 4 years,car,31,no additional loans,own,1,skilled,3 and more,yes,no,Approved
20,above 200 EUR,9,paid back previous loans at this bank,other,2134,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,more than 7 years,car,48,no additional loans,own,4 or 5,skilled,0 to 2,yes,no,Approved
